case,year,month,product,sector,n_cells,hfr_mean,hsc_mean,hfi_mean
A,2013,6,LEGOS_II_CS2,Eastern_Weddell,1007,0.11451557278633118,0.04242462292313576,0.1560898721218109
A,2013,6,LEGOS_II_CS2,Indian,680,0.04209563136100769,0.031379178166389465,0.062117669731378555
A,2013,6,LEGOS_II_CS2,Western_Pacific,392,0.15490390360355377,0.04926704615354538,0.18641570210456848
A,2013,6,LEGOS_II_CS2,Ross,1198,0.0998334065079689,0.045402396470308304,0.1447857916355133
A,2013,6,LEGOS_II_CS2,Amundsen_Bellingshausen,636,0.07411112636327744,0.03887803107500076,0.10901056975126266
B,2013,6,LEGOS_II_CS2,Western_Weddell,499,0.16573873162269592,0.04909487068653107,0.23130638897418976
B,2013,6,LEGOS_II_CS2,Eastern_Weddell,1007,0.11451557278633118,0.03615302965044975,0.1498182862997055
B,2013,6,LEGOS_II_CS2,Indian,680,0.04209563136100769,0.026740416884422302,0.05747891589999199
B,2013,6,LEGOS_II_CS2,Western_Pacific,392,0.15490390360355377,0.04198393598198891,0.1791326105594635
B,2013,6,LEGOS_II_CS2,Ross,1198,0.0998334065079689,0.03869059681892395,0.13807398080825806
B,2013,6,LEGOS_II_CS2,Amundsen_Bellingshausen,636,0.07411112636327744,0.03313072398304939,0.10326326638460159
C,2013,6,LEGOS_II_CS2,Western_Weddell,499,0.16573873162269592,0.09505891054868698,0.2607976496219635
C,2013,6,LEGOS_II_CS2,Eastern_Weddell,1007,0.11451557278633118,0.047630369663238525,0.1621459573507309
C,2013,6,LEGOS_II_CS2,Indian,680,0.04209563136100769,0.02867932617664337,0.07077496498823166
C,2013,6,LEGOS_II_CS2,Western_Pacific,392,0.15490390360355377,0.0383114293217659,0.19321532547473907
C,2013,6,LEGOS_II_CS2,Ross,1198,0.0998334065079689,0.04365254566073418,0.14348594844341278
C,2013,6,LEGOS_II_CS2,Amundsen_Bellingshausen,636,0.07411112636327744,0.045966118574142456,0.12007726728916168
D,2013,6,LEGOS_II_CS2,Western_Weddell,499,0.16573873162269592,0.08100642263889313,0.24674518406391144
D,2013,6,LEGOS_II_CS2,Eastern_Weddell,1007,0.11451557278633118,0.04058920964598656,0.15510478615760803
D,2013,6,LEGOS_II_CS2,Indian,680,0.04209563136100769,0.024439683184027672,0.06653532385826111
D,2013,6,LEGOS_II_CS2,Western_Pacific,392,0.15490390360355377,0.03264787793159485,0.18755176663398743
D,2013,6,LEGOS_II_CS2,Ross,1198,0.0998334065079689,0.03719942644238472,0.13703282177448273
D,2013,6,LEGOS_II_CS2,Amundsen_Bellingshausen,636,0.07411112636327744,0.03917098417878151,0.11328211426734924
A,2013,6,CSAO_CS2,Western_Weddell,499,0.13784368336200714,0.04604543000459671,0.18388912081718445
A,2013,6,CSAO_CS2,Eastern_Weddell,1007,0.1124424859881401,0.03249417617917061,0.14493966102600098
A,2013,6,CSAO_CS2,Indian,680,0.0598457008600235,0.02071116492152214,0.07916823774576187
A,2013,6,CSAO_CS2,Western_Pacific,392,0.10964702069759369,0.03278867155313492,0.14239469170570374
A,2013,6,CSAO_CS2,Ross,1198,0.0863611102104187,0.03212008252739906,0.11848119646310806
A,2013,6,CSAO_CS2,Amundsen_Bellingshausen,636,0.07205621153116226,0.023842383176088333,0.0959227979183197
B,2013,6,CSAO_CS2,Western_Weddell,499,0.13784368336200714,0.039238572120666504,0.17708225548267365
B,2013,6,CSAO_CS2,Eastern_Weddell,1007,0.1124424859881401,0.02769058756530285,0.14013604819774628
B,2013,6,CSAO_CS2,Indian,680,0.0598457008600235,0.017649449408054352,0.07610652595758438
B,2013,6,CSAO_CS2,Western_Pacific,392,0.10964702069759369,0.027941549196839333,0.137547567486763
B,2013,6,CSAO_CS2,Ross,1198,0.0863611102104187,0.02737179398536682,0.11373289674520493
B,2013,6,CSAO_CS2,Amundsen_Bellingshausen,636,0.07205621153116226,0.02031778357923031,0.09239818900823593
C,2013,6,CSAO_CS2,Western_Weddell,499,0.13784368336200714,0.09505891054868698,0.23290258646011353
C,2013,6,CSAO_CS2,Eastern_Weddell,1007,0.1124424859881401,0.047630369663238525,0.16007284820079803
C,2013,6,CSAO_CS2,Indian,680,0.0598457008600235,0.02867932617664337,0.08852501958608627
C,2013,6,CSAO_CS2,Western_Pacific,392,0.10964702069759369,0.0383114293217659,0.14795845746994019
C,2013,6,CSAO_CS2,Ross,1198,0.0863611102104187,0.04365254566073418,0.13001364469528198
C,2013,6,CSAO_CS2,Amundsen_Bellingshausen,636,0.07205621153116226,0.045966118574142456,0.11802234500646591
D,2013,6,CSAO_CS2,Western_Weddell,499,0.13784368336200714,0.08100642263889313,0.21885012090206146
D,2013,6,CSAO_CS2,Eastern_Weddell,1007,0.1124424859881401,0.04058920964598656,0.15303169190883636
D,2013,6,CSAO_CS2,Indian,680,0.0598457008600235,0.024439683184027672,0.08428537845611572
D,2013,6,CSAO_CS2,Western_Pacific,392,0.10964702069759369,0.03264787793159485,0.14229489862918854
D,2013,6,CSAO_CS2,Ross,1198,0.0863611102104187,0.03719942644238472,0.12356052547693253
D,2013,6,CSAO_CS2,Amundsen_Bellingshausen,636,0.07205621153116226,0.03917098417878151,0.11122720688581467
A,2013,6,CryoTEMPO_CS2,Western_Weddell,499,0.08878924697637558,0.0894850641489029,0.17827430367469788
A,2013,6,CryoTEMPO_CS2,Eastern_Weddell,1007,0.06261283159255981,0.04483979940414429,0.1074526384472847
A,2013,6,CryoTEMPO_CS2,Indian,680,0.03358326479792595,0.026981350034475327,0.060564614832401276
A,2013,6,CryoTEMPO_CS2,Western_Pacific,392,0.10479717701673508,0.03607013076543808,0.14086730778217316
A,2013,6,CryoTEMPO_CS2,Ross,1198,0.059930771589279175,0.04103785380721092,0.1009686291217804
A,2013,6,CryoTEMPO_CS2,Amundsen_Bellingshausen,636,0.04026508331298828,0.04336654022336006,0.08363161981105804
B,2013,6,CryoTEMPO_CS2,Western_Weddell,499,0.08878924697637558,0.081065833568573,0.16985508799552917
B,2013,6,CryoTEMPO_CS2,Eastern_Weddell,1007,0.06261283159255981,0.040621038526296616,0.10323387384414673
B,2013,6,CryoTEMPO_CS2,Indian,680,0.03358326479792595,0.024442801252007484,0.05802606791257858
